 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),mod_ET(mm/d),mod_LE(MJ/m2/d),mod_ET(MJ.m-2.d-1),mod_SoilE(mm/d),mod_can_evap(mm/d),weighted_SWP(MPa),plant_resistance_layer1,canopy_soil_resistance_layer1,LSC(mmol/m2/s/Mpa),sapflow(mm/d),mean-LAI
199,1.2381548,3.0399625,2.6364275,.1244632,.0401386,-.2729069,.2127056,3.7228657,.4431850,2.1580219,3.4400000
200,1.1139517,2.7290603,2.6375420,.1350670,-.0974302,-.2735499,.2127056,3.7944676,.4352659,2.1322358,3.4400000
201,1.3031485,3.1904220,2.7786335,.1390825,.0283653,-.2754353,.2127056,3.8858191,.4255644,2.2166502,3.4400000
202,1.1206415,2.7342604,2.6115858,.1580553,-.1086891,-.2796571,.2127056,3.8880302,.4253349,2.0860853,3.4400000
203,1.1467873,2.7959155,2.3292352,.1458302,.0453925,-.2772374,.2127056,3.9907867,.4149374,1.9107066,3.4400000
204,1.1641734,2.8328318,2.1327563,.1907855,.0972917,-.2784956,.2127056,3.9912466,.4148920,1.7940639,3.4400000
205,1.4220203,3.4660434,2.7709219,.1714999,.1144103,-.2826456,.2127056,3.9943373,.4145872,2.3335750,3.4400000
206,1.2299960,3.0028188,2.7309329,.1674956,-.0547875,-.2800741,.2127056,4.1112957,.4033731,2.2628959,3.4400000
207,1.1779718,2.8763379,2.4952884,.1713340,-.0150053,-.2756036,.2127056,4.2410651,.3916201,2.0076725,3.4400000
208,1.3387714,3.2657512,2.7246411,.1400857,.0825034,-.2813578,.2127056,4.2472274,.3910790,2.2879483,3.4400000
209,1.3428770,3.2956035,2.6793889,.0989737,.1518943,-.2812436,.2127056,4.2485534,.3909627,2.2281946,3.4400000
210,.9757510,2.4050890,2.2697582,.0690970,-.0140506,-.2720872,.2127056,4.3839318,.3794483,1.8682063,3.4400000
