 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),mod_ET(mm/d),mod_LE(MJ/m2/d),mod_ET(MJ.m-2.d-1),mod_SoilE(mm/d),mod_can_evap(mm/d),weighted_SWP(MPa),plant_resistance_layer1,canopy_soil_resistance_layer1,LSC(mmol/m2/s/Mpa),sapflow(mm/d),mean-LAI
086,.1063031,.2257605,.8643857,.1484501,-.3830687,-.0424662,4.4951301,1.0921373,.3665086,.6900596,2.9300001
087,-.1024213,-.2577477,.7241888,.1001072,-.4931999,-.0425259,4.4874723,1.0921373,.3663864,.5878686,2.9350001
088,.3988767,1.0208424,.5321954,.0779197,.1106426,-.0426632,4.4798406,1.0921374,.3662642,.4213548,2.9400001
089,.4832143,1.2017912,.8962888,.1537379,-.0304955,-.0428800,4.4722347,1.0921375,.3661422,.7111267,2.9450001
090,.5375555,1.3322946,1.0006169,.1538270,-.0177831,-.0428839,4.4646547,1.0921376,.3660202,.8067131,2.9500001
091,.1194780,.2659318,.4375926,.0802182,-.1282045,-.0420216,4.4571003,1.0921376,.3658983,.3504415,2.9550001
092,-.0274499,-.1357582,.5531513,.0872565,-.3358429,-.0430399,4.4495714,1.0921376,.3657765,.4381632,2.9600001
093,.0938056,.2313420,.7602528,.1103391,-.3220111,-.0430440,4.4420679,1.0921377,.3656548,.6064645,2.9650001
094,-.0185301,-.0807694,.5976409,.0998130,-.3571811,-.0430573,4.4345897,1.0921377,.3655331,.4859432,2.9700001
095,.2008028,.4995423,.2203022,.0403108,.0721910,-.0432128,4.4271366,1.0921378,.3654116,.1712853,2.9750001
096,.4011260,.9774868,.9256305,.1268489,-.0950346,-.0434774,4.4197085,1.0921380,.3652901,.7318606,2.9800001
097,.6588128,1.6383157,.9109944,.1123953,.1801659,-.0428681,4.4123053,1.0921378,.3651687,.7393406,2.9850001
098,.0364166,.0896133,.5717772,.0680656,-.2608998,-.0433105,4.4049268,1.0921379,.3650473,.4547402,2.9900001
099,-.0822529,-.2167415,.4311618,.0693213,-.3238519,-.0429604,4.3975730,1.0921378,.3649261,.3493652,2.9950001
100,.2357644,.5893568,.8348169,.1180162,-.2163589,-.0429966,4.3902438,1.0921379,.3648049,.6625791,3.0000001
101,.1312604,.3236560,.9256658,.1079990,-.3487786,-.0431587,4.3829389,1.0921379,.3646839,.7399596,3.0050001
102,.8778971,2.1770551,1.5181047,.1797970,.0863984,-.0432326,4.3756582,1.0921379,.3645629,1.2177590,3.0100001
103,.1032216,.2536331,1.1073534,.1118242,-.4544769,-.0434104,4.3684017,1.0921381,.3644419,.8876861,3.0150001
104,.3253178,.7616707,.8122910,.0976917,-.0980541,-.0423838,4.3611693,1.0921381,.3643211,.6580950,3.0200001
105,-.2076097,-.6067273,.1260642,.0392331,-.2943845,-.0401525,4.3539608,1.0921383,.3642003,.0989580,3.0250001
106,.3338497,.8171106,.5602970,.1197129,.0043402,-.0426494,4.3467760,1.0921383,.3640796,.4436924,3.0300001
107,.3291751,.8458527,.5047849,.0753976,.0596986,-.0426497,4.3396149,1.0921384,.3639590,.4038172,3.0350001
108,.4960054,1.1963351,1.3059733,.2288968,-.2538092,-.0440899,4.3324774,1.0921385,.3638385,1.0246368,3.0400001
109,1.0538957,2.6070122,2.0280295,.2904428,-.0555023,-.0442028,4.3253633,1.0921385,.3637181,1.6271034,3.0450001
110,1.2799922,3.1621272,2.4414410,.2839126,.0087811,-.0439854,4.3182725,1.0921384,.3635977,1.9822415,3.0500001
111,.0739538,.1671481,.8410214,.1181478,-.3787443,-.0432762,4.3112050,1.0921383,.3634774,.6731926,3.0550001
112,.4384277,1.0757130,1.0366211,.1892837,-.1596814,-.0435950,4.3041605,1.0921384,.3633572,.8111364,3.0600001
113,.7326552,1.8203208,1.5704003,.2346287,-.1336572,-.0439876,4.2971391,1.0921386,.3632371,1.2477801,3.0650001
114,.6148186,1.5287524,1.4204353,.2605265,-.2162856,-.0445535,4.2901405,1.0921389,.3631170,1.1325460,3.0700001
115,.7945310,1.9671017,1.9916003,.3051708,-.3135593,-.0449327,4.2831646,1.0921390,.3629971,1.6036010,3.0750001
116,.8643472,2.1372078,2.1386374,.2556833,-.2549611,-.0453525,4.2762115,1.0921392,.3628772,1.7207678,3.0800001
117,.9806312,2.4174168,2.7630522,.2801408,-.4179547,-.0459523,4.2692808,1.0921396,.3627573,2.2120683,3.0850001
118,1.0791472,2.6503911,3.2751694,.3393655,-.5901939,-.0471720,4.2623726,1.0921400,.3626376,2.6495389,3.0900001
119,.7783361,1.9176404,2.5596069,.1774996,-.4358351,-.0477919,4.2554867,1.0921404,.3625179,2.0921437,3.0950001
120,.6779317,1.6625263,1.7573279,.2407864,-.2676758,-.0489226,4.2486230,1.0921410,.3623983,1.4014941,3.1000001
121,.5470174,1.3565574,1.2868309,.3396981,-.3093566,-.0424616,4.2349617,1.0921372,.3621597,1.0325335,3.1100002
122,.7750021,1.9100154,1.4514715,.3447391,-.1440430,-.0425982,4.2213881,1.0921373,.3619211,1.1497623,3.1200002
123,.8879121,2.2039091,1.6676281,.3555440,-.1386961,-.0427431,4.2079012,1.0921375,.3616828,1.3280109,3.1300002
124,1.0069476,2.4945156,2.0491237,.3972800,-.2165694,-.0430517,4.1945003,1.0921376,.3614448,1.6266155,3.1400002
125,1.2366900,3.0491542,2.6422908,.4313788,-.2647724,-.0434975,4.1811844,1.0921378,.3612072,2.1535771,3.1500002
126,.6790233,1.6814402,1.8482743,.2143000,-.2802986,-.0440109,4.1679528,1.0921381,.3609698,1.4915960,3.1600002
127,-.2394811,-.5974146,.3898162,.0606791,-.4567333,-.0440123,4.1548047,1.0921381,.3607328,.3182378,3.1700002
128,.3130657,.7743223,1.1340325,.1475049,-.2892281,-.0444637,4.1417393,1.0921383,.3604961,.9003312,3.1800002
129,.8269332,2.0167847,1.9113538,.2817232,-.2195451,-.0449647,4.1287558,1.0921386,.3602597,1.5050195,3.1900002
130,1.3669302,3.3709554,2.9367852,.4064714,-.2284064,-.0458788,4.1158534,1.0921390,.3600235,2.3494817,3.2000002
131,.9525344,2.3527598,2.6952466,.2402363,-.3772342,-.0468900,4.1030314,1.0921395,.3597877,2.2048786,3.2100002
132,.6965603,1.7230537,1.9090044,.1991178,-.2725059,-.0481691,4.0902891,1.0921400,.3595522,1.5237426,3.2200002
133,1.2073723,2.9822896,2.7341546,.2933914,-.1912522,-.0493872,4.0776257,1.0921406,.3593170,2.1696424,3.2300002
134,1.5697425,3.8609601,3.4457690,.4084550,-.2378373,-.0519687,4.0650404,1.0921419,.3590821,2.7582785,3.2400002
135,1.7207746,4.2249872,4.0372137,.3791639,-.3019462,-.0563318,4.0525326,1.0921447,.3588473,3.2432658,3.2500002
136,2.2384084,5.4759943,4.4172160,.4434009,-.0089826,-.0618285,4.0401015,1.0921488,.3586128,3.5759037,3.2600002
137,2.4544667,6.0117583,4.3008926,.3975173,.3014374,-.0685608,4.0277465,1.0921555,.3583784,3.5042643,3.2700002
138,2.2621126,5.5381751,4.4030687,.3223497,.1429529,-.0802169,4.0154667,1.0921735,.3581435,3.6022293,3.2800002
139,2.5288531,6.2254705,3.2828274,.1492779,1.0464800,-.0794349,4.0032617,1.0921696,.3579105,2.6947354,3.2900002
140,1.6591631,4.1028274,2.8086817,.2804442,.2430261,-.0476487,3.9911306,1.0921412,.3576794,2.2422289,3.3000002
141,2.3399030,5.7911786,2.6960085,.2195705,1.0312814,-.0490682,3.9790728,1.0921418,.3574467,2.1689287,3.3100002
142,1.1940623,2.9565208,2.2284933,.1773320,.1169652,-.0496740,3.9670876,1.0921421,.3572142,1.7907568,3.3200002
143,1.1670089,2.8871163,2.4444698,.1573173,.0218393,-.0523101,3.9551744,1.0921433,.3569820,1.9666241,3.3300002
144,1.1150035,2.7662505,1.8552775,.1248490,.2426775,-.0551051,3.9433326,1.0921447,.3567501,1.4908428,3.3400002
145,1.2203771,3.0341003,1.5614957,.1092037,.4836586,-.0571099,3.9315615,1.0921459,.3565185,1.2510178,3.3500002
146,.6559107,1.6327051,1.1944024,.0840356,.0924845,-.0593329,3.9198604,1.0921473,.3562872,.9545272,3.3600002
147,.6454841,1.6076167,1.3067623,.0864408,.0346710,-.0613849,3.9082288,1.0921487,.3560562,1.0410530,3.3700002
148,.6339498,1.5767054,1.5039334,.0838712,-.0543105,-.0642806,3.8966660,1.0921511,.3558254,1.1970136,3.3800002
149,1.0944713,2.7099255,2.5782121,.1287101,-.0753065,-.0720998,3.8851714,1.0921584,.3555946,2.0596576,3.3900002
150,1.5780599,3.8925796,3.4928011,.1575685,.0044830,-.0831797,3.8737444,1.0921731,.3553635,2.7989011,3.4000002
151,1.4161917,3.4878187,3.0564232,.1537704,.0216578,-.0974547,3.8623844,1.0922024,.3551317,2.4742136,3.4100002
152,.7585371,1.8725512,1.5385872,.0538231,.0816351,-.1001285,3.8510909,1.0922094,.3549017,1.2528452,3.4200002
153,.9751693,2.4091509,1.0563698,.1000583,.4480411,-.0447176,3.8398632,1.0921416,.3546775,.8736718,3.4300002
154,.8390841,2.0682325,2.7872865,.1903789,-.4800673,-.0479418,3.8287009,1.0921428,.3544486,2.2427432,3.4400002
155,.5317847,1.3143614,1.8705790,.1059285,-.3298866,-.0474539,3.8287011,1.0921426,.3544486,1.5179889,3.4400000
156,1.4368874,3.5319963,3.3874084,.2789360,-.2175802,-.0511240,3.8287011,1.0921443,.3544485,2.7184322,3.4400000
157,1.8020316,4.4344100,3.8324836,.2333003,.0124495,-.0583842,3.8287011,1.0921488,.3544481,3.1147171,3.4400000
158,1.5865679,3.9120683,3.3311176,.1616020,.0748015,-.0703944,3.8287011,1.0921593,.3544474,2.6913739,3.4400000
159,1.0859903,2.6879996,2.4758348,.1100046,-.0235262,-.0840836,3.8287011,1.0921773,.3544461,1.9927768,3.4400000
160,1.1414410,2.8222760,2.6067049,.1134679,-.0249881,-.0993111,3.8287011,1.0922084,.3544438,2.1001502,3.4400000
161,1.1611319,2.8683599,2.4818407,.1144955,.0421871,-.1170308,3.8287011,1.0922686,.3544395,1.9705129,3.4400000
162,1.4427467,3.5604388,2.8023126,.0923203,.2150055,-.1221429,3.8287011,1.0923070,.3544367,2.2815039,3.4400000
163,1.0254321,2.5292376,2.2693037,.0645231,.0416198,-.1206991,3.8287011,1.0923124,.3544363,1.8279354,3.4400000
164,.9018042,2.2288837,1.3528471,.0602417,.2950834,-.0726492,3.8287011,1.0921837,.3544456,1.1126387,3.4400000
165,.4648977,1.1500812,1.8535978,.0715685,-.3543928,-.0753753,3.8287011,1.0921847,.3544455,1.4911479,3.4400000
166,1.2621861,3.1225984,2.3744937,.1013246,.2007041,-.0866167,3.8287011,1.0922173,.3544432,1.8877050,3.4400000
167,.9147622,2.2542840,2.3802242,.0680666,-.1171816,-.1001797,3.8287011,1.0922665,.3544397,1.9294074,3.4400000
168,1.0034832,2.4704766,3.0798240,.1723941,-.4165063,-.1227811,3.8287011,1.0923905,.3544307,2.4650753,3.4400000
169,1.0724039,2.6406205,3.2461090,.1416548,-.3845516,-.1502619,3.8287011,1.0927399,.3544056,2.6220576,3.4400000
170,.9083975,2.2395398,2.8821141,.1178458,-.3755335,-.1767560,3.8287011,1.0933545,.3543613,2.3150908,3.4400000
171,1.1231239,2.7657108,3.2577672,.1463423,-.3429209,-.2001680,3.8287011,1.0947039,.3542642,2.6228268,3.4400000
172,1.1253844,2.7704610,3.2437137,.1491561,-.3388608,-.2200928,3.8287011,1.0977985,.3540416,2.6016977,3.4400000
173,1.0916561,2.6812388,3.1869371,.1971351,-.4000620,-.2361252,3.8287011,1.1076088,.3533380,2.5523846,3.4400000
174,1.5303506,3.7573150,3.6240426,.2205877,-.1646770,-.2393132,3.8287011,1.1347643,.3514049,2.8896864,3.4400000
