Time (days),up1,up2,up3,up4,up5,up6,up7,up8,up9,up10,up11,up12,up13,up14,up15
83.98,.0000000,.2009555,.1711988,.1452437,.1232262,.1045441,.0886783,.0752339,.0638392,.0140964,.0129839,.0000000,.0000000,.0000000,.0000000
84.98,.0000000,.0000000,.2142544,.1817717,.1542170,.1308364,.1109804,.0941548,.0798944,.0176416,.0162493,.0000000,.0000000,.0000000,.0000000
85.98,.0000000,.0000000,.2142547,.1817719,.1542174,.1308368,.1109795,.0941541,.0798946,.0176416,.0162494,.0000000,.0000000,.0000000,.0000000
86.98,.1917100,.1624306,.1383785,.1173992,.0996027,.0845021,.0716771,.0608103,.0516006,.0113940,.0104948,.0000000,.0000000,.0000000,.0000000
87.98,.1916853,.1624356,.1383827,.1174028,.0996057,.0845047,.0716793,.0608121,.0516022,.0113943,.0104951,.0000000,.0000000,.0000000,.0000000
88.98,.1916666,.1624093,.1383923,.1174109,.0996127,.0845106,.0716844,.0608164,.0516059,.0113951,.0104959,.0000000,.0000000,.0000000,.0000000
89.98,.1916180,.1623875,.1384077,.1174240,.0996238,.0845200,.0716916,.0608225,.0516116,.0113964,.0104970,.0000000,.0000000,.0000000,.0000000
90.98,.1916184,.1623878,.1384078,.1174240,.0996239,.0845201,.0716909,.0608220,.0516117,.0113964,.0104970,.0000000,.0000000,.0000000,.0000000
91.98,.0000000,.2008385,.1712248,.1452658,.1232451,.1045601,.0886891,.0752431,.0638490,.0140986,.0129859,.0000000,.0000000,.0000000,.0000000
92.98,.1915958,.1623587,.1384189,.1174335,.0996319,.0845268,.0716966,.0608268,.0516158,.0113973,.0104979,.0000000,.0000000,.0000000,.0000000
93.98,.1915962,.1623590,.1384189,.1174335,.0996320,.0845270,.0716959,.0608262,.0516159,.0113974,.0104979,.0000000,.0000000,.0000000,.0000000
94.98,.1916355,.1623157,.1384197,.1174341,.0996327,.0845276,.0716964,.0608266,.0516162,.0113974,.0104980,.0000000,.0000000,.0000000,.0000000
95.98,.1915728,.1623287,.1384307,.1174435,.0996406,.0845342,.0717012,.0608307,.0516203,.0113983,.0104988,.0000000,.0000000,.0000000,.0000000
96.98,.1915121,.1623039,.1384493,.1174593,.0996541,.0845457,.0717100,.0608382,.0516273,.0113999,.0105002,.0000000,.0000000,.0000000,.0000000
97.98,.1917192,.1623000,.1384054,.1174220,.0996230,.0845193,.0716876,.0608191,.0516112,.0113963,.0104969,.0000000,.0000000,.0000000,.0000000
98.98,.1915825,.1622900,.1384369,.1174487,.0996456,.0845385,.0717039,.0608330,.0516229,.0113989,.0104993,.0000000,.0000000,.0000000,.0000000
99.98,.1917283,.1622608,.1384117,.1174274,.0996277,.0845233,.0716910,.0608220,.0516136,.0113968,.0104974,.0000000,.0000000,.0000000,.0000000
100.98,.1916655,.1623107,.1384148,.1174300,.0996295,.0845248,.0716923,.0608231,.0516145,.0113971,.0104976,.0000000,.0000000,.0000000,.0000000
101.98,.1916455,.1622774,.1384261,.1174396,.0996378,.0845319,.0716983,.0608282,.0516188,.0113980,.0104985,.0000000,.0000000,.0000000,.0000000
