 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),mod_ET(mm/d),mod_LE(MJ/m2/d),mod_ET(MJ.m-2.d-1),mod_SoilE(mm/d),mod_can_evap(mm/d),weighted_SWP(MPa),plant_resistance_layer1,canopy_soil_resistance_layer1,LSC(mmol/m2/s/Mpa),sapflow(mm/d),mean-LAI
103,-.1521873,-.3805655,.4731676,.1118242,-.4544821,-.0434104,.2426890,2.1842731,.8199756,.3787525,3.0150001
104,.1261437,.2646543,.3150522,.0976917,-.0979645,-.0423838,.2422872,2.1842732,.8187535,.2676177,3.0200001
105,-.2415798,-.6959961,.0368350,.0392331,-.2943980,-.0401525,.2418867,2.1842734,.8175351,.0262762,3.0250001
106,.2181013,.5120343,.2486116,.1197129,.0066671,-.0426494,.2414876,2.1842734,.8163203,.2027824,3.0300001
107,.2120013,.5432433,.1941972,.0753976,.0625207,-.0426497,.2410897,2.1842735,.8151091,.1557474,3.0350001
108,.3723161,.8825702,.9930763,.2288968,-.2541493,-.0440899,.2406932,2.1842736,.8139015,.7703576,3.0400001
109,.9604382,2.3735634,1.7947232,.2904428,-.0555611,-.0442028,.2402980,2.1842736,.8126975,1.4513391,3.0450001
110,1.0243775,2.5288551,1.8075879,.2839126,.0090157,-.0439854,.2399040,2.1842735,.8114971,1.4979594,3.0500001
111,-.1222030,-.3243306,.3500112,.1181478,-.3789221,-.0432762,.2395114,2.1842734,.8103002,.2730901,3.0550001
112,.2510987,.5998420,.5614354,.1892837,-.1599461,-.0435950,.2391200,2.1842735,.8091068,.4230483,3.0600001
113,.4697406,1.1665480,.9177867,.2346287,-.1341230,-.0439876,.2387299,2.1842736,.8079169,.7295809,3.0650001
114,.4443926,1.1046076,.9984721,.2605265,-.2171622,-.0445535,.2383411,2.1842739,.8067304,.8055572,3.0700001
115,.6692940,1.6557504,1.6824497,.3051708,-.3144452,-.0449327,.2379536,2.1842741,.8055475,1.3841097,3.0750001
116,.7429151,1.8355262,1.8379315,.2556833,-.2553536,-.0453525,.2375673,2.1842743,.8043680,1.4810332,3.0800001
117,.6378848,1.5699870,1.9181071,.2801408,-.4189584,-.0459523,.2371823,2.1842747,.8031919,1.5272783,3.0850001
118,.9168111,2.2482205,2.8776017,.3393655,-.5920585,-.0471721,.2367985,2.1842751,.8020192,2.3612455,3.0900001
119,.3496569,.8590490,1.5031434,.1774996,-.4366960,-.0477919,.2364159,2.1842755,.8008499,1.2622817,3.0950001
120,.5628969,1.3733934,1.4695761,.2407864,-.2682238,-.0489226,.2360346,2.1842761,.7996840,1.1833708,3.1000001
121,.5238380,1.2976195,1.2288354,.3396981,-.3097344,-.0424616,.2352756,2.1842723,.7973639,.9861089,3.1100002
122,.6052469,1.4802123,1.0225909,.3447391,-.1443931,-.0425982,.2345216,2.1842724,.7950561,.8027075,3.1200002
123,.7851027,1.9477390,1.4127787,.3555440,-.1392268,-.0427431,.2337723,2.1842725,.7927615,1.1309305,3.1300002
124,.9004400,2.2293247,1.7866194,.3972800,-.2176515,-.0430517,.2330278,2.1842727,.7904801,1.4169857,3.1400002
125,1.3911349,3.4280066,3.0234540,.4313788,-.2657038,-.0434975,.2322880,2.1842729,.7882118,2.5074397,3.1500002
126,.4223399,1.0444644,1.2117936,.2143000,-.2804976,-.0440109,.2315529,2.1842732,.7859564,.9913254,3.1600002
127,-.3390776,-.8453779,.1422774,.0606791,-.4569038,-.0440123,.2308225,2.1842732,.7837140,.1222174,3.1700002
128,.0996650,.2423774,.6026190,.1475049,-.2894402,-.0444637,.2300966,2.1842734,.7814843,.4772881,3.1800002
129,.6023331,1.4530961,1.3491212,.2817232,-.2201178,-.0449647,.2293753,2.1842737,.7792673,1.0420351,3.1900002
130,1.4099714,3.4732088,3.0421548,.4064714,-.2296638,-.0458788,.2286585,2.1842741,.7770627,2.4482014,3.2000002
131,.5570683,1.3741128,1.7196823,.2402363,-.3784787,-.0468900,.2279462,2.1842745,.7748705,1.4678652,3.2100002
132,.5591485,1.3810160,1.5677160,.1991178,-.2728072,-.0481691,.2272383,2.1842751,.7726907,1.2447277,3.2200002
133,1.0099952,2.4917646,2.2459000,.2933914,-.1921681,-.0493872,.2265348,2.1842757,.7705231,1.7717433,3.2300002
134,1.8011902,4.4258306,4.0157029,.4084550,-.2398880,-.0519688,.2258356,2.1842770,.7683673,3.2371933,3.2400002
135,1.8665220,4.5787106,4.3965577,.3791639,-.3042326,-.0563319,.2251407,2.1842798,.7662232,3.5582491,3.2500002
136,2.5906707,6.3333554,5.2783982,.4434009,-.0105357,-.0618287,.2244501,2.1842839,.7640905,4.3347325,3.2600002
137,2.7483802,6.7239075,5.0130444,.3975173,.3014375,-.0685613,.2237637,2.1842906,.7619688,4.1274610,3.2700002
138,2.4024537,5.8771793,4.7444136,.3223497,.1420029,-.0802184,.2230815,2.1843086,.7598553,3.9465917,3.2800002
139,2.0595928,5.0696102,2.1256477,.1492779,1.0470163,-.0794361,.2224034,2.1843046,.7577604,1.7908078,3.2900002
140,1.1224956,2.7761019,1.4834118,.2804442,.2424396,-.0476487,.2217295,2.1842763,.7556847,1.1780911,3.3000002
141,1.8013874,4.4586139,1.3652850,.2195705,1.0305385,-.0490682,.2210596,2.1842769,.7536113,1.1031584,3.3100002
142,.7334594,1.8159099,1.0892104,.1773320,.1164294,-.0496741,.2203938,2.1842772,.7515493,.8822370,3.3200002
143,.6843350,1.6926345,1.2495563,.1573173,.0220124,-.0523101,.2197319,2.1842784,.7494983,1.0140730,3.3300002
144,.7231438,1.7937067,.8836399,.1248490,.2423141,-.0551052,.2190740,2.1842798,.7474584,.7183786,3.3400002
145,.8774064,2.1808698,.7081759,.1092037,.4836948,-.0571100,.2184201,2.1842809,.7454297,.5731687,3.3500002
146,.3919086,.9749809,.5367438,.0840356,.0924587,-.0593330,.2177700,2.1842824,.7434118,.4337853,3.3600002
147,.3563911,.8873106,.5862529,.0864408,.0347530,-.0613851,.2171238,2.1842838,.7414049,.4665135,3.3700002
148,.3060960,.7609000,.6884366,.0838712,-.0544340,-.0642808,.2164814,2.1842861,.7394084,.5477099,3.3800002
149,.5841642,1.4461502,1.3151186,.1287101,-.0755813,-.0721003,.2158429,2.1842935,.7374212,1.0480721,3.3900002
150,.9788908,2.4141054,2.0147572,.1575685,.0043067,-.0831808,.2152080,2.1843082,.7354423,1.6062028,3.4000002
151,1.2718414,3.1296706,2.6966238,.1537704,.0223272,-.0974578,.2145769,2.1843375,.7334696,2.1996705,3.4100002
152,.3802807,.9385125,.6103752,.0538231,.0792742,-.1001321,.2139495,2.1843445,.7315141,.5263779,3.4200002
153,.7006666,1.7303339,.3792366,.1000583,.4473603,-.0447176,.2133257,2.1842766,.7295918,.3365882,3.4300002
154,.3098935,.7614484,1.4830265,.1903789,-.4810900,-.0479418,.2127056,2.1842779,.7276587,1.1994424,3.4400002
155,.0874713,.2148208,.7715173,.1059285,-.3300798,-.0474539,.2127056,2.1842777,.7276588,.6294312,3.4400000
156,1.1977270,2.9402720,2.7966081,.2789360,-.2179533,-.0511240,.2127056,2.1842794,.7276583,2.2460575,3.4400000
157,1.3580083,3.3395289,2.7368328,.2333003,.0127615,-.0583844,.2127056,2.1842839,.7276569,2.2558204,3.4400000
158,1.2194528,3.0053049,2.4241755,.1616020,.0748747,-.0703949,.2127056,2.1842944,.7276538,1.9630280,3.4400000
159,.6544894,1.6189180,1.4069052,.1100046,-.0235867,-.0840849,.2127056,2.1843124,.7276483,1.1398461,3.4400000
160,.6785348,1.6763721,1.4606055,.1134679,-.0249088,-.0993144,.2127056,2.1843435,.7276388,1.1884694,3.4400000
161,.7537757,1.8615037,1.4759132,.1144955,.0418117,-.1170390,.2127056,2.1844037,.7276206,1.1518244,3.4400000
162,.9655398,2.3818432,1.6230535,.0923203,.2152730,-.1221553,.2127056,2.1844421,.7276089,1.3510270,3.4400000
163,.4864377,1.1987140,.9398879,.0645231,.0411728,-.1207128,.2127056,2.1844475,.7276073,.7560323,3.4400000
164,.5659847,1.3976536,.5241991,.0602417,.2940390,-.0726518,.2127056,2.1843188,.7276463,.4582329,3.4400000
165,.0301593,.0724241,.7753696,.0715685,-.3541630,-.0753779,.2127056,2.1843198,.7276460,.6220257,3.4400000
166,.7841142,1.9400057,1.1922034,.1013246,.2005823,-.0866223,.2127056,2.1843524,.7276361,.9281163,3.4400000
167,.3719508,.9138400,1.0398277,.0680666,-.1171994,-.1001903,.2127056,2.1844016,.7276212,.8530380,3.4400000
168,.9445938,2.3219641,2.9328537,.1723941,-.4171294,-.1228060,.2127056,2.1845257,.7275835,2.3629720,3.4400000
169,1.0118274,2.4888149,3.0958447,.1416548,-.3851731,-.1503348,.2127056,2.1848755,.7274774,2.5169975,3.4400000
170,.7215172,1.7755551,2.4193777,.1178458,-.3760365,-.1769195,.2127056,2.1854916,.7272905,1.9517226,3.4400000
171,.9828905,2.4165408,2.9097689,.1463423,-.3433934,-.2005539,.2127056,2.1868469,.7268797,2.3606818,3.4400000
172,1.2378261,3.0438250,3.5188740,.1491561,-.3395868,-.2210352,.2127056,2.1899682,.7259354,2.8329407,3.4400000
173,1.6666156,4.0887653,4.5982109,.1971351,-.4015812,-.2389528,.2127056,2.1999934,.7229190,3.7089796,3.4400000
174,2.0736926,5.0859542,4.9570314,.2205877,-.1664427,-.2473423,.2127056,2.2288910,.7143629,3.9628668,3.4400000
175,2.2307717,5.4619910,5.2570838,.2371083,-.1523111,-.2444578,.2127056,2.2914048,.6965292,4.2689682,3.4400000
176,2.4271280,5.9334885,5.6073064,.2541277,-.1200327,-.2238758,.2127056,2.4352312,.6586962,4.5377092,3.4400000
177,2.4995752,6.0982583,5.6044651,.2828333,-.0797840,-.1964247,.2127056,2.6227503,.6151342,4.5265391,3.4400000
178,2.3437534,5.7150900,5.6333954,.2706802,-.2355895,-.1733187,.2127056,2.8125838,.5765353,4.8029341,3.4400000
179,2.0017827,4.8912508,5.1961054,.2305822,-.3530629,-.1580228,.2127056,2.9905037,.5445120,4.2247120,3.4400000
180,.9800910,2.4084543,2.0681828,.1092529,.0288977,-.1753699,.2127056,2.9348844,.5541338,1.7650236,3.4400000
181,1.4702258,3.6053108,2.1699315,.1229542,.4623491,-.2077025,.2127056,2.7989814,.5791392,1.7566093,3.4400000
182,1.6039143,3.9245762,3.3936013,.1663100,.0509090,-.1941819,.2127056,2.9695442,.5480984,2.7712424,3.4400000
183,1.5751410,3.8505807,3.3882221,.1573833,.0321870,-.1918103,.2127056,3.0924594,.5277153,2.8038327,3.4400000
184,1.6049292,3.9278117,2.9996170,.1621340,.2170013,-.2133765,.2127056,3.0428930,.5357497,2.4602455,3.4400000
185,1.6619270,4.0685989,3.3634407,.1538970,.1348370,-.2144709,.2127056,3.1039528,.5258866,2.7944429,3.4400000
186,1.2953428,3.1799564,2.7827318,.1201302,.0428987,-.2161226,.2127056,3.1668690,.5160963,2.3030006,3.4400000
187,.7445510,1.8390855,1.6154250,.0817246,.0095802,-.2144773,.2127056,3.2199651,.5081134,1.3276173,3.4400000
188,1.1113406,2.7301171,2.6276137,.1300504,-.0882330,-.2194476,.2127056,3.2749965,.5000960,2.0907879,3.4400000
189,1.4088177,3.4503007,3.2121767,.1392122,-.0426035,-.2308681,.2127056,3.2910464,.4978052,2.5908826,3.4400000
190,1.6247328,3.9719314,3.5072416,.1314518,.0591354,-.2364818,.2127056,3.3500955,.4895547,2.9156490,3.4400000
191,1.2747514,3.1288986,2.8376502,.1189547,-.0002844,-.2395226,.2127056,3.3943952,.4835424,2.3260446,3.4400000
192,1.2715929,3.1180847,2.8130700,.1118609,.0135199,-.2466936,.2127056,3.4126441,.4811084,2.3156323,3.4400000
193,.8939098,2.2035907,1.9849146,.0774913,.0117759,-.2477902,.2127056,3.4588263,.4750568,1.6210986,3.4400000
194,1.1719830,2.8778646,2.7032710,.1088058,-.0377948,-.2526070,.2127056,3.5043022,.4692447,2.1708088,3.4400000
195,1.3880287,3.3997983,3.0962328,.1215900,.0028210,-.2597286,.2127056,3.5387034,.4649416,2.5276003,3.4400000
196,1.3749831,3.3667566,3.0381958,.1297604,.0048685,-.2631117,.2127056,3.5937208,.4582214,2.4839289,3.4400000
197,1.3827268,3.3807576,3.0467656,.1426121,-.0056984,-.2664789,.2127056,3.6537904,.4511025,2.4945911,3.4400000
198,1.3374968,3.2775204,2.9062322,.1195656,.0325975,-.2703957,.2127056,3.7143303,.4441482,2.4038567,3.4400000
199,1.2406562,3.0452914,2.6417346,.1244632,.0401484,-.2729069,.2127056,3.7228657,.4431850,2.1638370,3.4400000
200,1.1643091,2.8509504,2.7594375,.1350670,-.0974316,-.2735499,.2127056,3.7944676,.4352659,2.2345973,3.4400000
201,1.3795742,3.3765036,2.9647509,.1390825,.0283511,-.2754353,.2127056,3.8858191,.4255644,2.3685655,3.4400000
202,1.2839452,3.1313781,3.0087116,.1580553,-.1086917,-.2796571,.2127056,3.8880302,.4253349,2.4153277,3.4400000
203,1.2776901,3.1146992,2.6479934,.1458302,.0454027,-.2772374,.2127056,3.9907867,.4149374,2.1719076,3.4400000
204,1.3713812,3.3357941,2.6357421,.1907855,.0972816,-.2784956,.2127056,3.9912466,.4148920,2.2030232,3.4400000
205,1.5591024,3.7998491,3.1046743,.1714999,.1144321,-.2826456,.2127056,3.9943373,.4145872,2.6092360,3.4400000
206,1.3391481,3.2689407,2.9970431,.1674956,-.0547826,-.2800741,.2127056,4.1112957,.4033731,2.4819715,3.4400000
207,1.3010499,3.1757805,2.7947447,.1713340,-.0150107,-.2756036,.2127056,4.2410651,.3916201,2.2582017,3.4400000
208,1.4561667,3.5519144,3.0107981,.1400857,.0825060,-.2813578,.2127056,4.2472274,.3910790,2.5235798,3.4400000
209,1.3493370,3.3110729,2.6949176,.0989737,.1518705,-.2812436,.2127056,4.2485534,.3909627,2.2417496,3.4400000
210,.8915005,2.1971191,2.0618011,.0690970,-.0140557,-.2720872,.2127056,4.3839318,.3794483,1.7004317,3.4400000
