TIMESTAMP,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,RNET.y,SkyT,Tcan_Avg_corr,Tair,RH
2.02E+11,822.61,412.57,51.11,227.67,331.93,257.2,-21.27248582,NA,4.65,60.76
2.02E+11,619.02,303.47,40.34,243.9,332.43,174.57,-16.9014112,NA,4.85,61.26
2.02E+11,781.45,382.1,48.66,236.07,335.97,233.57,-18.98203335,NA,5.61,56.71
2.02E+11,703.39,337.67,43.807,230.97,336.43,188.43,-20.36522605,NA,5.87,53.73
2.02E+11,605.55,287.77,40.64,232.4,335.93,143.6,-19.97509748,NA,5.88,53.31
2.02E+11,338.29,159.07,24.083,239.6,334.33,40.293,-18.03771733,NA,5.7,53.04
2.02E+11,200.29,91.567,16.933,235.03,328.93,-19.287,-19.26226405,NA,4.46,58.53
2.02E+11,98.878,44.64,9.0167,234.23,328.97,-59.107,-19.47845965,NA,4.87,56.71
2.02E+11,37.076,14.441,3.3223,243.77,326.8,-71.943,-16.9355435,NA,4.28,59.05
2.02E+11,4.7595,0,0,251.57,324.7,-73.13,-14.91132517,NA,3.73,61.08
2.02E+11,0,0,0,250.33,322.37,-72.047,-15.22994743,NA,3.14,63.89
2.02E+11,0,0,0,234.5,320.2,-85.703,-19.40543181,NA,2.62,68.26
2.02E+11,0,0,0,228.37,315.07,-86.733,-21.07921655,NA,2,73.49
2.02E+11,0,0,0,240.63,316.07,-75.457,-17.76414798,NA,1.89,74.99
2.02E+11,0,0,0,255.37,319,-63.66,-13.9421813,NA,2.15,72.96
2.02E+11,0,0,0,254.6,318.97,-64.39,-14.1376824,NA,2.06,74.32
2.02E+11,0,0,0,242.07,316.97,-74.863,-17.3831505,NA,2.06,74.81
2.02E+11,0,0,0,237.63,316.4,-78.78,-18.56341831,NA,1.95,75.27
2.02E+11,0,0,0,263.83,320,-56.163,-11.82278917,NA,2.37,73.68
2.02E+11,0,0,0,291.1,323.37,-32.26,-5.320700785,NA,2.99,72.18
2.02E+11,0,0,0,293.63,324.5,-30.863,-4.740975145,NA,3.14,74.11
2.02E+11,0,0,0,269,323.13,-54.08,-10.55258151,NA,2.91,76.95
2.02E+11,0,0,0,267.87,321.37,-53.49,-10.82863532,NA,2.66,81.03
2.02E+11,0,0,0,255.8,320.33,-64.513,-13.83319767,NA,2.46,83.3
2.02E+11,0,0,0,257.77,320.43,-62.66,-13.33565008,NA,2.47,82.2
2.02E+11,0,0,0,259.8,321.73,-61.937,-12.82592334,NA,2.73,77.23
2.02E+11,0,0,0,256.23,320.67,-64.437,-13.72435136,NA,2.41,76.85
2.02E+11,0,0,0,253.27,318.93,-65.643,-14.47641314,NA,2.02,78.39
2.02E+11,0,0,0,254.4,318.07,-63.683,-14.18853444,NA,1.87,79.22
2.02E+11,0,0,0,247.2,317.93,-70.7,-16.03950993,NA,1.81,79.47
2.02E+11,0,0,0,267.8,317.9,-50.117,-10.84576471,NA,1.75,80.67
